Complexity,Loss,Equation,score,sympy_format,lambda_format
1,5.513488,-1.5232393,0.0,-1.52323930000000,PySRFunction(X=>-1.52323930000000)
3,4.121384,x2 * -3.0466316,0.14550421222802312,x2*(-3.0466316),PySRFunction(X=>x2*(-3.0466316))
4,3.2096841,log(square(log(x2))),0.2500165081979886,log(log(x2)**2),PySRFunction(X=>log(log(x2)**2))
5,3.1933155,(x2 * -7.6161075) + 3.0464575,0.005112802336352279,3.0464575 + x2*(-7.6161075),PySRFunction(X=>3.0464575 + x2*(-7.6161075))
6,3.042656,"log(square(aq(log(x2), x0)))",0.04832890055915503,log(log(x2)**2/(x0**2 + 1)),PySRFunction(X=>log(log(x2)**2/(x0**2 + 1)))
7,2.803663,"(x2 * -8.205039) + aq(3.9044676, x0)",0.08180404168862697,x2*(-8.205039) + 3.9044676/sqrt(x0**2 + 1),PySRFunction(X=>x2*(-8.205039) + 3.9044676/sqrt(x0**2 + 1))
8,2.6419075,"(x2 * -7.8664417) + aq(6.1626563, exp(x0))",0.05942558236794797,x2*(-7.8664417) + 6.1626563/sqrt(exp(2*x0) + 1),PySRFunction(X=>x2*(-7.8664417) + 6.1626563/sqrt(exp(2*x0) + 1))
9,2.0589564,square(exp(square(square(x1))) * x2) * -3.0707638,0.24930194163856476,(x2**2*exp(2*x1**4))*(-3.0707638),PySRFunction(X=>(x2**2*exp(2*x1**4))*(-3.0707638))
10,1.6691636,square(exp(square(square(square(x1)))) * x2) * -3.4806213,0.20987658984971785,(x2**2*exp(2*x1**8))*(-3.4806213),PySRFunction(X=>(x2**2*exp(2*x1**8))*(-3.4806213))
11,1.3093683,square(exp(square(square(square(x1)))) * square(x2)) * -5.7560754,0.24277785547373854,(x2**4*exp(2*x1**8))*(-5.7560754),PySRFunction(X=>(x2**4*exp(2*x1**8))*(-5.7560754))
12,1.2090298,square(exp(square(square(square(square(x1))))) * square(x2)) * -6.023207,0.0797265873714697,(x2**4*exp(2*x1**16))*(-6.023207),PySRFunction(X=>(x2**4*exp(2*x1**16))*(-6.023207))
13,1.0994188,(square(exp(square(square(square(x1)))) * square(x2)) * -5.092556) - x0,0.09503654326398851,-x0 + (x2**4*exp(2*x1**8))*(-5.092556),PySRFunction(X=>-x0 + (x2**4*exp(2*x1**8))*(-5.092556))
14,0.9234898,(((x2 * -5.917468) + 2.623833) * square(exp(square(square(square(x1)))))) - x0,0.17437720087628322,-x0 + (2.623833 + x2*(-5.917468))*exp(2*x1**8),PySRFunction(X=>-x0 + (2.623833 + x2*(-5.917468))*exp(2*x1**8))
15,0.83034635,((x2 + -0.44294032) * (square(exp(square(square(square(square(x1)))))) * -6.1915364)) - x0,0.10631685173419872,-x0 + (x2 - 0.44294032)*exp(2*x1**16)*(-6.1915364),PySRFunction(X=>-x0 + (x2 - 0.44294032)*exp(2*x1**16)*(-6.1915364))
16,0.629016,"aq((exp((x1 * x2) * 28.363543) * -2.2332178e-9) + 3.8806946, x0) + (x2 * -7.851647)",0.27768620932753507,x2*(-7.851647) + (3.8806946 + exp(x1*x2*28.363543)*(-2.2332178e-9))/sqrt(x0**2 + 1),PySRFunction(X=>x2*(-7.851647) + (3.8806946 + exp(x1*x2*28.363543)*(-2.2332178e-9))/sqrt(x0**2 + 1))
17,0.29526424,"aq((exp((x1 * 28.9214) * x2) * -2.5204705e-9) + 5.7481103, exp(x0)) + (x2 * -7.171968)",0.7562860093511068,x2*(-7.171968) + (5.7481103 + exp(x1*28.9214*x2)*(-2.5204705e-9))/sqrt(exp(2*x0) + 1),PySRFunction(X=>x2*(-7.171968) + (5.7481103 + exp(x1*28.9214*x2)*(-2.5204705e-9))/sqrt(exp(2*x0) + 1))
18,0.1673431,"(x2 * -6.382517) + aq((exp((x1 * 28.17576) * x2) * -3.8071044e-9) + 3.95823, x0 * -2.8387325)",0.5678244883734972,x2*(-6.382517) + (3.95823 + exp(x1*28.17576*x2)*(-3.8071044e-9))/sqrt(8.05840220655625*x0**2 + 1),PySRFunction(X=>x2*(-6.382517) + (3.95823 + exp(x1*28.17576*x2)*(-3.8071044e-9))/sqrt(8.05840220655625*x0**2 + 1))
19,0.15748426,"(x2 * -6.4775248) + aq((exp(square((x2 * -4.7933574) * x1)) * -9.6158765e-6) + 3.9886, x0 * -2.7566905)",0.060720679090458536,x2*(-6.4775248) + (3.9886 + exp(22.9762751641348*x1**2*x2**2)*(-9.6158765e-6))/sqrt(7.59934251279025*x0**2 + 1),PySRFunction(X=>x2*(-6.4775248) + (3.9886 + exp(22.9762751641348*x1**2*x2**2)*(-9.6158765e-6))/sqrt(7.59934251279025*x0**2 + 1))
